package	metadata_names	description	license	status	registered_module	binding_flag	configuration_file	delivery	implementation_evidence	python_stub_status	docstring_status	test_status	missing_apis_or_deficiencies	blocker	evidence_state
AABB_tree	AABB_tree	Data structure for efficient intersection and distance queries over sets of 2D and 3D geometric primitives.	GPL (v3 or later)	UNSUPPORTED				none	Dedicated JSON documentation input: src/libs/cgalpy/lib/docstrings/json/AABB_tree.json. The exact ownership audit found no direct include of a public header owned by this package in tracked binding sources and no dedicated configuration, test, or authoritative build manifest.	No registered Python module or standalone stub exists for this package.	Documentation or example source material exists, but it is not connected to a registered binding module. Such source material alone does not constitute an exposed Python API.	No dedicated binding configuration, CMake test, or authoritative build manifest exists for this package.	The package has documentation or example source material but no Python binding route. Its classes and functions are not exposed through a standalone module, stub, generated module documentation, or dedicated variant.		VERIFIED-UNSUPPORTED-DOC-ONLY-CURRENT-SOURCE
Advancing_front_surface_reconstruction	Advancing_front_surface_reconstruction	Surface reconstruction using an advancing front method.	GPL (v3 or later)	UNSUPPORTED				none	Dedicated JSON documentation input: src/libs/cgalpy/lib/docstrings/json/Advancing_front_surface_reconstruction.json. The exact ownership audit found no direct include of a public header owned by this package in tracked binding sources and no dedicated configuration, test, or authoritative build manifest.	No registered Python module or standalone stub exists for this package.	Documentation or example source material exists, but it is not connected to a registered binding module. Such source material alone does not constitute an exposed Python API.	No dedicated binding configuration, CMake test, or authoritative build manifest exists for this package.	The package has documentation or example source material but no Python binding route. Its classes and functions are not exposed through a standalone module, stub, generated module documentation, or dedicated variant.		VERIFIED-UNSUPPORTED-DOC-ONLY-CURRENT-SOURCE
Algebraic_foundations	Algebraic_foundations		LGPL (v3 or later)	PARTIAL				Dependency or cross-package delivery through existing registered bindings; no standalone Python module is registered for this CGAL package.	Tracked binding sources directly include 1 public header(s) owned by this package from 1 binding source/header file(s). Included headers: CGAL/number_utils.h. Binding files: src/libs/cgalpy/lib/binding_surface_mesh_shortest_path.cpp.	No standalone package stub exists. Python-visible symbols derived from these headers can appear only in stubs for the registered modules containing the wrapper code.	A dedicated package JSON documentation input exists: src/libs/cgalpy/lib/docstrings/json/Algebraic_foundations.json. No standalone generated Python documentation module is registered for this package.	No dedicated package configuration, CMake test, or authoritative build manifest was identified. Coverage is indirect through registered variants compiling the listed binding files.	The package is not independently bound. Only selected headers are consumed as dependencies or cross-package implementation details; its complete public API, standalone module, independent stub, module documentation, and dedicated build route are absent.		VERIFIED-PARTIAL-DEPENDENCY-CURRENT-SOURCE
Algebraic_kernel_d	Algebraic_kernel_d	The package introduces concepts for univariate and bivariate algebraic kernel, as well as models for these concepts which support various coefficient types. Moreover, the package provides a special univariate algebraic kernel based on RS.	LGPL (v3 or later)	PARTIAL				Dependency or cross-package delivery through existing registered bindings; no standalone Python module is registered for this CGAL package.	Tracked binding sources directly include 1 public header(s) owned by this package from 1 binding source/header file(s). Included headers: CGAL/Algebraic_kernel_d_1.h. Binding files: src/libs/cgalpy/lib/export_kernel_algebraic.cpp.	No standalone package stub exists. Python-visible symbols derived from these headers can appear only in stubs for the registered modules containing the wrapper code.	A dedicated package JSON documentation input exists: src/libs/cgalpy/lib/docstrings/json/Algebraic_kernel_d.json. No standalone generated Python documentation module is registered for this package.	No dedicated package configuration, CMake test, or authoritative build manifest was identified. Coverage is indirect through registered variants compiling the listed binding files.	The package is not independently bound. Only selected headers are consumed as dependencies or cross-package implementation details; its complete public API, standalone module, independent stub, module documentation, and dedicated build route are absent.		VERIFIED-PARTIAL-DEPENDENCY-CURRENT-SOURCE
Algebraic_kernel_for_circles	Algebraic_kernel_for_circles		GPL (v3 or later)	UNSUPPORTED				none	The exact ownership audit found no direct include of a public header owned by this package in tracked binding sources, no dedicated JSON documentation input, no configuration or CMake test, no authoritative build manifest, and no dedicated Python example directory.	No registered Python module or standalone stub exists for this package.	No dedicated generated-docstring input or standalone Python module documentation was identified.	No dedicated binding configuration, CMake test, build manifest, or maintained Python example was identified.	No standalone or cross-delivered Python API is evidenced for this package. Its public API, module, stub, generated documentation, and binding-library route are absent.		VERIFIED-UNSUPPORTED-NO-BINDING-EVIDENCE-CURRENT-SOURCE
Algebraic_kernel_for_spheres	Algebraic_kernel_for_spheres		GPL (v3 or later)	UNSUPPORTED				none	The exact ownership audit found no direct include of a public header owned by this package in tracked binding sources, no dedicated JSON documentation input, no configuration or CMake test, no authoritative build manifest, and no dedicated Python example directory.	No registered Python module or standalone stub exists for this package.	No dedicated generated-docstring input or standalone Python module documentation was identified.	No dedicated binding configuration, CMake test, build manifest, or maintained Python example was identified.	No standalone or cross-delivered Python API is evidenced for this package. Its public API, module, stub, generated documentation, and binding-library route are absent.		VERIFIED-UNSUPPORTED-NO-BINDING-EVIDENCE-CURRENT-SOURCE
Alpha_shapes_2	Alpha_shapes_2	Alpha Shapes and Weighted Alpha Shapes in 2D.	GPL (v3 or later)	PARTIAL	As2	CGALPY_ALPHA_SHAPE_2_BINDINGS	cmake/modules/alpha_shape_2_options.cmake	registered As2 module with maintained as2_del_epic variant; existing detached artifact requires rebuild at current HEAD	Current alpha_shape_2_bindings.cpp exposes Alpha_shape_2, Mode, Classification_type, alpha traversal, classification, edge and vertex list conversion, and find_optimal_alpha. An existing EPIC+Delaunay detached extension imports successfully.	Existing generated As2 and root stubs parse successfully, but find_optimal_alpha is annotated with the implementation-specific C++ type std::__1::__wrap_iter<double const*> instead of a usable Python Alpha_iterator result.	Alpha_shapes_2.json contains 11 compounds. Existing build-tree As2_docstrings.hpp and As2_docstrings.cpp were verified, and the source consumes As2_docstrings.hpp.	Maintained as2_del_epic runner entry, CMake test and manifest exist. The existing detached extension, wheel, stubs and generated docstrings were inspected, but make -q reports that the current CGALPY target requires rebuilding. No focused tracked Python example was found.	find_optimal_alpha directly returns a C++ Alpha_iterator that nanobind cannot convert, producing a runtime TypeError. Its generated stub uses std::__1::__wrap_iter<double const*> despite documentation describing Alpha_iterator. Import reports Vertex_handle and Face_handle as not registered. Dedicated alpha-shape edge and vertex iterator bindings are commented out, and periodic-traits bindings remain TODO.		VERIFIED-PARTIAL-CURRENT-SOURCE-HISTORICAL-RUNTIME
Alpha_shapes_3	Alpha_shapes_3	Alpha Shapes and Weighted Alpha Shapes in 3D.	GPL (v3 or later)	PARTIAL	As3	CGALPY_ALPHA_SHAPE_3_BINDINGS	cmake/modules/alpha_shape_3_options.cmake	registered As3 module with five maintained runner variants and matching manifests covering compact and fast Delaunay, parallel Delaunay, exact-comparison Delaunay and regular triangulation configurations. All five runner dry-runs resolve successfully to detached build directories. No matching configured As3 build, extension, wheel or module stub was located.	Current source exposes Alpha_shape_3, Classification_type, conditional Mode and Alpha_status types, multiple point-list and Tri3 constructors, make_alpha_shape, alpha and mode modifiers, classification overloads, alpha-status queries, classified cell/facet/edge/vertex extraction, alpha-value traversal and search, solid-component queries, find_optimal_alpha and find_alpha_solid. Source also contains a conditional Fixed_alpha_shape_3 path with a reduced API.	No generated As3 module stub was located because no matching configured As3 build was found. Runtime and stub parity are therefore unverified.	Alpha_shapes_3.json contains 19 compounds. Standalone build-tree As3_docstrings.hpp and As3_docstrings.cpp artifacts were verified, and the current source consumes As3_docstrings.hpp. Their integration into a compiled As3 module was not verified.	Five maintained As3 runners and manifests exist, and all five resolve successfully in dry-run mode. Five focused Python examples were found, with as3_alpha_shapes_exact_alpha.py registered in the C++/Python comparison runner. No As3 variant was configured or compiled during this inventory, and no runtime import, stub parse or example execution was verified.	filtration and filtration_with_alpha_values remain commented out. All five maintained routes use the default plain alpha-shape selection; no maintained runner selecting CGALPY_AS3_NAME=fixed was found. The fixed-alpha-shape path therefore lacks maintained variant validation. No current or historical configured As3 extension, wheel or module stub was located, so runtime behavior and variant-specific API parity remain unverified.		VERIFIED-PARTIAL-CURRENT-SOURCE-NO-RUNTIME
Alpha_wrap_2	Alpha_wrap_2	The 2D Alpha Wrapping package is a generic meshing algorithm to create valid and input-enclosing polygons.	GPL (v3 or later)	UNSUPPORTED				none	Dedicated JSON documentation input: src/libs/cgalpy/lib/docstrings/json/Alpha_wrap_2.json. The exact ownership audit found no direct include of a public header owned by this package in tracked binding sources and no dedicated configuration, test, or authoritative build manifest.	No registered Python module or standalone stub exists for this package.	Documentation or example source material exists, but it is not connected to a registered binding module. Such source material alone does not constitute an exposed Python API.	No dedicated binding configuration, CMake test, or authoritative build manifest exists for this package.	The package has documentation or example source material but no Python binding route. Its classes and functions are not exposed through a standalone module, stub, generated module documentation, or dedicated variant.		VERIFIED-UNSUPPORTED-DOC-ONLY-CURRENT-SOURCE
Alpha_wrap_3	Alpha_wrap_3	The 3D Alpha Wrapping package is a generic meshing algorithm to create valid and input-enclosing meshes.	GPL (v3 or later)	UNSUPPORTED				none	Dedicated JSON documentation input: src/libs/cgalpy/lib/docstrings/json/Alpha_wrap_3.json. The exact ownership audit found no direct include of a public header owned by this package in tracked binding sources and no dedicated configuration, test, or authoritative build manifest.	No registered Python module or standalone stub exists for this package.	Documentation or example source material exists, but it is not connected to a registered binding module. Such source material alone does not constitute an exposed Python API.	No dedicated binding configuration, CMake test, or authoritative build manifest exists for this package.	The package has documentation or example source material but no Python binding route. Its classes and functions are not exposed through a standalone module, stub, generated module documentation, or dedicated variant.		VERIFIED-UNSUPPORTED-DOC-ONLY-CURRENT-SOURCE
